id,name,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_since_year,host_response_rate(%),host_acceptance_rate(%),host_lives_in_the_same_neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,instant_bookable
1081507139395912406,Room in upscale Todt Hill,within an hour,False,2,True,True,2021,100.0,50.0,True,Todt Hill,Staten Island,40.58559,-74.10713,Private room,1,1.0,1.0,1.0,55.0,30,365,30,30,365,365,30.0,365.0,0,False
7389120,Boutique apartment  by the Ocean,within an hour,False,4,True,True,2013,100.0,64.0,True,Sheepshead Bay,Brooklyn,40.58418,-73.95929,Entire home/apt,4,1.0,1.0,3.0,99.0,30,180,30,30,180,180,30.0,180.0,77,False
629211160504994365,"31Private bed, bathroom -3 mins to shopping center",within an hour,False,150,True,True,2014,99.0,88.0,False,Flushing,Queens,40.75656,-73.83507,Private room,2,1.0,1.0,1.0,36.0,30,1125,30,30,1125,1125,30.0,1125.0,0,False
6939597,Brownstone garden space,within a day,False,1,True,True,2012,89.0,73.0,True,Mott Haven,Bronx,40.8111309856,-73.9237869565,Private room,2,1.0,1.0,1.0,120.0,4,28,3,4,28,28,4.0,28.0,98,False
681504125966887847,NYC Astoria-LaGuardia #2 Wide PrivateRoom KingBed,within an hour,False,7,True,True,2019,100.0,100.0,False,Ditmars Steinway,Queens,40.7786378,-73.9072683,Private room,2,2.0,1.0,1.0,50.0,30,365,30,30,1125,1125,30.0,1125.0,20,True
588970063349178677,Luxurious 2 bedroom/beach front / 10 mins from jfk,within an hour,False,3,True,True,2014,100.0,99.0,False,Arverne,Queens,40.59414,-73.79372,Entire home/apt,6,1.0,2.0,3.0,96.0,30,1125,30,30,1125,1125,30.0,1125.0,23,True
911476159473959996,Spacious 3 Bedroom House with a beautiful porch,within an hour,False,2,True,True,2017,100.0,93.0,False,Kew Gardens Hills,Queens,40.7229764135,-73.8138777895,Entire home/apt,5,1.0,3.0,5.0,156.0,30,365,30,30,365,365,30.0,365.0,3,False
45345628,"Blueground | FiDi, fitness center, lounge",within an hour,False,803,True,True,2016,99.0,97.0,False,Financial District,Manhattan,40.7056,-74.00878,Entire home/apt,2,1.0,1.0,1.0,236.0,31,1125,31,365,1125,1125,36.4,1125.0,0,False
856651933812762904,Beautiful 3 bedroom APT in Queens NY,within an hour,True,3,True,False,2015,90.0,98.0,False,East Elmhurst,Queens,40.7583396213,-73.8831251693,Entire home/apt,7,1.0,3.0,3.0,199.0,30,365,30,30,365,365,30.0,365.0,22,False
923894804847429517,Stunning King Sized Ensuite | Message 2 Book,a few days or more,False,3,True,True,2023,7.0,89.0,False,Maspeth,Queens,40.7351663359,-73.8942266271,Entire home/apt,8,2.0,3.0,4.0,148.0,30,120,30,30,1125,1125,30.0,1125.0,6,True
